id,mentioned_comp_name,category,keywords
30198542,ทหารไทยธนชาต,broker,"['ทหารไทยธนชาต', 'ttb', 'tmb', 'ธนาคารทหารไทย', 'ทหารไทย']"
30198542,ทหารไทยธนชาต,broker,"['ทหารไทยธนชาต', 'ttb', 'tmb', 'ธนาคารทหารไทย', 'ทหารไทย']"
30210077,ทิพยประกันภัย,non_life,"['ทิพย', 'ทิพยประกันภัย', 'dip', 'dhp', 'tip']"
30211343,สินมั่นคง,non_life,"['สินมั่นคง', 'สินมั่งคง']"
30211343,นวกิจประกันภัย,non_life,['นวกิจ']
30216660,LMG,non_life,"['lmg', 'แอลเอ็มจี']"
30216660,LMG,non_life,"['lmg', 'แอลเอ็มจี']"
30216660,อินทรประกันภัย,non_life,['อินทร']
30216660,อินทรประกันภัย,non_life,['อินทร']
30216660,TISCO Insure,broker,['ทิสโก้']
30216660,TISCO Insure,broker,['ทิสโก้']
30217636,,,
30217941,,,
30219146,,,
30220162,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30222377,,,
30241507,คุ้มภัยโตเกียวมารีน,non_life,"['ประกันคุ้มภัย', 'คุ้มภัย', 'คภ.', 'โตเกียวมารีน', 'tokio marine']"
30242343,,,
30288943,มิตรแท้ประกันภัย,non_life,"['มิตรแท้ประกันภัย', 'มิตรแท้']"
30307093,,,
30307846,,,
30313188,,,
30319241,,,
30324287,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30324287,คุ้มภัยโตเกียวมารีน,non_life,"['ประกันคุ้มภัย', 'คุ้มภัย', 'คภ.', 'โตเกียวมารีน', 'tokio marine']"
30329609,,,
30353942,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30355254,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30355423,ธนชาตประกันภัย,non_life,"['ธนชาตประกันภัย', 'ธนชาต', 'ธนชาติ', 'ประกันภัยสีส้ม']"
30367867,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30387784,,,
30398955,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30403908,,,
30420776,,,
30423413,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30442875,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30442875,ทิพยประกันภัย,non_life,"['ทิพย', 'ทิพยประกันภัย', 'dip', 'dhp', 'tip']"
30442875,สินมั่นคง,non_life,"['สินมั่นคง', 'สินมั่งคง']"
30442875,ธนชาตประกันภัย,non_life,"['ธนชาตประกันภัย', 'ธนชาต', 'ธนชาติ', 'ประกันภัยสีส้ม']"
30442875,Krungthai AXA,non_life,"['กรุงไทยแอกซ่า', 'axa', 'แอกซ่า', 'แอกซา', 'เเอกซ่า', 'แอคซ่า', 'เเอคซา', 'กรุงไทยแอกซา', 'แอ๊คซ่า', 'แอ๊กซ่า', 'เเอกซ่า', 'axxa']"
30459023,,,
30460231,,,
30466838,,,
30468199,,,
30477831,,,
30478160,คุ้มภัยโตเกียวมารีน,non_life,"['ประกันคุ้มภัย', 'คุ้มภัย', 'คภ.', 'โตเกียวมารีน', 'tokio marine']"
30481090,,,
30488038,,,
30495546,อาคเนย์,non_life,"['อาคเนย์', 'aekn']"
30516216,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30516983,,,
30517303,ไทยประกันชีวิต,life,"['ไทยประกันชีวิต', 'ไทยประกัน']"
30517303,ไทยประกันชีวิต,life,"['ไทยประกันชีวิต', 'ไทยประกัน']"
30517303,กรุงไทยพานิชประกันภัย,non_life,"['kpi', 'กรุงไทยประกันภัย', 'กรุงไทย ธนวัฏ', 'กรุงไทยพานิช']"
30517303,กรุงไทยพานิชประกันภัย,non_life,"['kpi', 'กรุงไทยประกันภัย', 'กรุงไทย ธนวัฏ', 'กรุงไทยพานิช']"
30517303,ไทยประกันภัย,non_life,['ไทยประกันภัย']
30517303,ไทยประกันภัย,non_life,['ไทยประกันภัย']
30522867,ส่งเสริมประกันภัย,non_life,['ส่งเสริมประกันภัย']
30522867,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30523383,,,
30523677,,,
30533608,,,
30554940,,,
30556623,,,
30557674,,,
30560517,,,
30562987,,,
30568559,ไทยเศรษฐกิจประกันภัย,non_life,['ไทยเศรษฐกิจ']
30578030,,,
30578816,,,
30581444,,,
30585467,,,
30585661,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30588768,AIA,life,"['aia', 'เอไอเอ']"
30590547,สินมั่นคง,non_life,"['สินมั่นคง', 'สินมั่งคง']"
30590547,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30590547,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30592421,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30593779,AEON,broker,"['aeon', 'อิออน']"
30598882,ทิพยประกันภัย,non_life,"['ทิพย', 'ทิพยประกันภัย', 'dip', 'dhp', 'tip']"
30616977,AIOI,non_life,"['aioi', 'ไอโออิ']"
30619452,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30620339,,,
30628046,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30647882,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30655054,AIA,life,"['aia', 'เอไอเอ']"
30664016,มิตซุย สุมิโตโม,non_life,['มิตซุย']
30674225,,,
30677636,,,
30680636,,,
30688100,,,
30704717,,,
30705206,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30705206,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30714836,,,
30722934,,,
30723381,,,
30731743,,,
30733923,,,
30740299,มิตรแท้ประกันภัย,non_life,"['มิตรแท้ประกันภัย', 'มิตรแท้']"
30740809,คุ้มภัยโตเกียวมารีน,non_life,"['ประกันคุ้มภัย', 'คุ้มภัย', 'คภ.', 'โตเกียวมารีน', 'tokio marine']"
30745748,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30750222,,,
30761574,กสิกรไทย,broker,"['กสิกร', 'k bank', 'แบงค์เขียว']"
30764097,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
30764107,,,
30764825,,,
30765320,Krungthai AXA,non_life,"['กรุงไทยแอกซ่า', 'axa', 'แอกซ่า', 'แอกซา', 'เเอกซ่า', 'แอคซ่า', 'เเอคซา', 'กรุงไทยแอกซา', 'แอ๊คซ่า', 'แอ๊กซ่า', 'เเอกซ่า', 'axxa']"
30767196,,,
30769283,สินมั่นคง,non_life,"['สินมั่นคง', 'สินมั่งคง']"
30773640,,,
30778154,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30778154,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30778154,ANC,broker,"['anc', 'เอเอ็นซี']"
30778154,ANC,broker,"['anc', 'เอเอ็นซี']"
30789856,มิตรแท้ประกันภัย,non_life,"['มิตรแท้ประกันภัย', 'มิตรแท้']"
30796665,Allianz Ayudhya,life,"['allianz', 'อลิอันซ์', 'อลิอันซ์อยุธยา', 'azay', 'อริอันซ์ อยุธยา', 'อลิอันช์', 'alianz ayudhya', 'az y']"
30807646,,,
30815036,เมืองไทยประกันชีวิต,life,"['เมืองไทยประกันชีวิต', 'เมืองไทย', 'muangthai', 'mtl', 'ประกันชีวิตสีชมพู']"
30815036,ไทยประกันชีวิต,life,"['ไทยประกันชีวิต', 'ไทยประกัน']"
30817603,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30822622,,,
30822973,,,
30833145,ไทยศรีประกันภัย,non_life,['ไทยศรี']
30833145,สินทรัพย์ประกันภัย,non_life,['สินทรัพย์']
30837777,AIA,life,"['aia', 'เอไอเอ']"
30837777,AIA,life,"['aia', 'เอไอเอ']"
30837777,เมืองไทยประกันชีวิต,life,"['เมืองไทยประกันชีวิต', 'เมืองไทย', 'muangthai', 'mtl', 'ประกันชีวิตสีชมพู']"
30837777,เมืองไทยประกันชีวิต,life,"['เมืองไทยประกันชีวิต', 'เมืองไทย', 'muangthai', 'mtl', 'ประกันชีวิตสีชมพู']"
30837777,ไทยประกันชีวิต,life,"['ไทยประกันชีวิต', 'ไทยประกัน']"
30837777,ไทยประกันชีวิต,life,"['ไทยประกันชีวิต', 'ไทยประกัน']"
30837777,อาคเนย์,non_life,"['อาคเนย์', 'aekn']"
30837777,อาคเนย์,non_life,"['อาคเนย์', 'aekn']"
30839025,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30841887,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30843416,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30859449,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30859510,อินทรประกันภัย,non_life,['อินทร']
30861609,,,
30862506,,,
30866696,AIA,life,"['aia', 'เอไอเอ']"
30871512,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30881346,,,
30884548,AIA,life,"['aia', 'เอไอเอ']"
30887332,,,
30894598,,,
30909596,คุ้มภัยโตเกียวมารีน,non_life,"['ประกันคุ้มภัย', 'คุ้มภัย', 'คภ.', 'โตเกียวมารีน', 'tokio marine']"
30910326,คุ้มภัยโตเกียวมารีน,non_life,"['ประกันคุ้มภัย', 'คุ้มภัย', 'คภ.', 'โตเกียวมารีน', 'tokio marine']"
30912927,ธนาคารออมสิน,broker,"['GSB', 'ออมสิน']"
30922372,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30922372,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30922372,Bupa,life,"['bupa', 'บูพา', 'บูพ่า']"
30922372,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30922372,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30922372,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30922372,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30922372,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30922372,SCB,broker,"['scb', 'ไทยพาณิชย์', 'ไทยพานิชย์', 'ธนาคารสีม่วง', 'cardx']"
30928096,,,
30928383,มิตรแท้ประกันภัย,non_life,"['มิตรแท้ประกันภัย', 'มิตรแท้']"
30930394,,,
30946732,,,
30947891,,,
30950980,,,
30968623,กรุงเทพประกันภัย,non_life,"['กรุงเทพประกันภัย', 'bangkok insurance', 'กรุงเทพ', 'bki']"
30968722,,,
30974353,ทิพยประกันภัย,non_life,"['ทิพย', 'ทิพยประกันภัย', 'dip', 'dhp', 'tip']"
30979932,,,
30988837,Krungsri First Choice,broker,"['first choice', 'กรุงศรี เฟิร์สช้อยส์', 'กรุงศรีเฟิร์สช้อย', 'เฟิสช้อย', 'เฟริสช้อย']"
30991350,AIA,life,"['aia', 'เอไอเอ']"
30991949,,,
30995163,,,
30999993,,,
31006210,ธนชาตประกันภัย,non_life,"['ธนชาตประกันภัย', 'ธนชาต', 'ธนชาติ', 'ประกันภัยสีส้ม']"
31009208,อาคเนย์,non_life,"['อาคเนย์', 'aekn']"
31015132,,,
31016363,,,
31017863,วิริยะประกันภัย,non_life,"['วิริยะ', 'viriyah', 'วรย', 'วิริยา']"
31017863,ธนชาตประกันภัย,non_life,"['ธนชาตประกันภัย', 'ธนชาต', 'ธนชาติ', 'ประกันภัยสีส้ม']"
